,year,month,day,Precipitation,Tmax,Tmin,RHmax,RHmin,V_wind,julian,ETP
90,2020,7,29,15.2,22.1,13.6,99,77,8.08333333333333,211,3.63743438315753
91,2020,7,30,0,21.9,12.7,100,68,6.25,212,3.66542662420795
92,2020,7,31,5.7,24.7,14.2,99,62,8.33333333333333,213,3.93783067421225
93,2020,8,1,0,28.4,13,98,46,4.41666666666667,214,4.56715085042236
94,2020,8,2,19.6,27.2,13.8,99,64,7.83333333333333,215,4.3048915779647
95,2020,8,3,17.6,21.8,15.3,99,72,16.6666666666667,216,3.36255738956362
96,2020,8,4,4.3,21.6,13,98,74,7.33333333333333,217,3.50485292523882
97,2020,8,5,29.7,22.7,15.6,99,65,16.5833333333333,218,3.4324829319753
98,2020,8,6,0,22.3,13.1,94,48,22,219,3.56105226336502
99,2020,8,7,0,25.3,10.5,98,59,5.04166666666667,220,4.20076587921894
100,2020,8,8,0,27.3,12.4,99,54,8.95833333333333,221,4.31862884514836
101,2020,8,9,0,26.7,14.7,91,58,10.4166666666667,222,4.01814633211446
102,2020,8,10,0,27.1,13.3,97,57,10.0833333333333,223,4.17242361594491
103,2020,8,11,0.9,26.6,17.9,98,66,11.2916666666667,224,3.69516607681639
104,2020,8,12,0,26.9,12.5,99,49,8,225,4.16597919870214
105,2020,8,13,0,22.1,12.7,93,49,12.2916666666667,226,3.41686856878313
106,2020,8,14,0,25.6,11.6,94,44,7.16666666666667,227,4.00373987682216
107,2020,8,15,0.2,24.3,10.3,97,44,7.25,228,3.89649891449958
108,2020,8,16,0,26.4,10.5,98,46,9.83333333333333,229,4.16765157470974
109,2020,8,17,2.9,22.9,11.5,98,55,9.16666666666667,230,3.54330385081723
110,2020,8,18,13.8,17.9,10.4,100,76,7.375,231,2.87096183587174
111,2020,8,19,0,15.8,11.1,94,74,18.9166666666667,232,2.47813172178086
112,2020,8,20,0,20.1,8.9,94,48,11.5833333333333,233,3.27291979843968
113,2020,8,21,0,20.2,10.7,96,42,8.08333333333333,234,3.11383245281646
114,2020,8,22,0,22.2,6.5,97,45,5.04166666666667,235,3.73367616799345
115,2020,8,23,0,23.5,11.4,96,51,10.1666666666667,236,3.49435752216195
116,2020,8,24,0,23,8.5,96,45,8.54166666666667,237,3.6357831875711
117,2020,8,25,23.9,17.9,9.7,97,63,18.25,238,2.75585992942927
118,2020,8,26,0,13.8,8.2,88,45,23,239,2.24779460475764
119,2020,8,27,0,17.5,7.8,85,55,18.0833333333333,240,2.80259416119518
120,2020,8,28,0,18.1,8.1,90,46,14.625,241,2.8402656357543
121,2020,8,29,2.6,16.5,4.8,99,58,8.20833333333333,242,2.85091615352678
122,2020,8,30,13.9,14.1,9,96,70,13.4583333333333,243,2.12045292633925
123,2020,8,31,0.2,17.3,6.9,94,48,7.875,244,2.74148325135776
124,2020,9,1,0,22.4,5.7,99,55,10.7916666666667,245,3.56881450964102
125,2020,9,2,15.7,19.8,13.4,99,81,16.5833333333333,246,2.51765416464183
126,2020,9,3,0,20.6,11.7,96,57,11.75,247,2.74970976065638
127,2020,9,4,0,17.8,8.7,90,47,22.75,248,2.55668892122104
128,2020,9,5,0.6,16.8,5.9,94,55,13.5,249,2.61329934745642
129,2020,9,6,8.6,15.9,3.9,99,64,6.125,250,2.61814881635841
130,2020,9,7,2.8,19.2,4.2,99,62,17.9583333333333,251,3.05354517903616
131,2020,9,8,0,16,6.4,91,47,14.25,252,2.36909635889668
132,2020,9,9,0,11.7,7.5,96,72,4.83333333333333,253,1.61301034977614
133,2020,9,10,13.7,10.5,4.2,100,77,10,254,1.68079521401786
134,2020,9,11,0,15.6,1.1,100,54,7.95833333333333,255,2.66425908049695
135,2020,9,12,0,18.8,3.6,99,58,9.91666666666667,256,2.90161014259168
136,2020,9,13,11.8,16.2,11.6,95,74,16.375,257,1.82395665610191
137,2020,9,14,0,12.5,4.5,91,49,23.9583333333333,258,1.83670693711449
138,2020,9,15,0,11.8,2.4,93,52,8.375,259,1.87836935981624
139,2020,9,16,24.7,18.3,7.1,99,72,17.0833333333333,260,2.4211523542545
140,2020,9,17,0,9.9,0.1,90,39,16.5833333333333,261,1.72976440404587
141,2020,9,18,0,10.1,-0.1,88,46,12.7083333333333,262,1.74671404403344
142,2020,9,19,0,9.2,0.1,92,46,13.25,263,1.56760985789307
143,2020,9,20,0,12.5,-2.4,97,36,5.83333333333333,264,2.23416047568918
144,2020,9,21,0,17.9,-1.9,97,50,7.91666666666667,265,2.96247457138083
145,2020,9,22,0,17.2,0.7,100,55,6.5,266,2.61366086027852
146,2020,9,23,0,17.9,7.2,95,70,14.2083333333333,267,2.14832809645263
147,2020,9,24,0,12.3,2,93,50,18.25,268,1.7216850700942
148,2020,9,25,0,13.2,-1.4,97,49,5.20833333333333,269,2.10764060482881
149,2020,9,26,3.3,23,2.7,98,58,10.9166666666667,270,3.18830355498467
150,2020,9,27,1.6,23,12.9,100,59,10.3333333333333,271,2.31228280281558
151,2020,9,28,0,23.2,13.8,98,74,8.04166666666667,272,2.23778725568003
152,2020,9,29,1.8,20,13,100,67,14.5416666666667,273,1.80122584317729
153,2020,9,30,26.9,12.5,7.2,100,77,12.5833333333333,274,1.14330751424178
